"Id";"Oznaczenie";"Obudowa";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"C1,C4";"C_1206";2;"100nF";;;
2;"C2,C3";"CP_Tantalum_Case-A_EIA-3216-18_Hand";2;"1uF";;;
3;"C5,C6";"C_0805_HandSoldering";2;"22pF";;;
4;"D1,D2,D3,D4";"D_SMA";4;"1N4007";;;
5;"D7";"LED_1206";1;"LED_R";;;
6;"D8";"LED_1206";1;"LED_G";;;
7;"D9";"LED_1206";1;"LED_B";;;
8;"J1";"Pin_Header_Straight_1x02_Pitch2.54mm_SMD_Pin1Left";1;"Piezo";;;
9;"J2";"Pin_Header_Straight_1x02_Pitch2.54mm_SMD_Pin1Left";1;"AC/DC In (12V)";;;
10;"J4";"Pin_Header_Straight_1x04_Pitch2.54mm_SMD_Pin1Left";1;"Czujnik";;;
11;"J6";"Pin_Header_Straight_1x04_Pitch2.54mm_SMD_Pin1Left";1;"LCD";;;
12;"J7";"Pin_Header_Straight_1x02_Pitch2.54mm_SMD_Pin1Left";1;"Button";;;
13;"J8";"Pin_Header_Straight_1x06_Pitch2.54mm_SMD_Pin1Left";1;"Bluetooth";;;
14;"Q1";"TO-92_Inline_Wide";1;"S8050";;;
15;"R1,R2,R3";"R_1206";3;"220";;;
16;"R4,R5";"R_1206";2;"1k";;;
17;"R6,R7";"R_1206";2;"4k7";;;
18;"RJ1";"R_1206";1;"0";;;
19;"SW1";"SW_PUSH_6mm_h5mm";1;"Reset";;;
20;"U1";"TO-263-2";1;"LM7805_TO220";;;
21;"U2";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328P-AU";;;
22;"Y1";"Crystal_SMD_HC49-SD_HandSoldering";1;"Crystal";;;
23;"J3";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Prog";;;
